Id: 2, Dinero movido: 300.0, Fecha: 2024-03-04 16:44:49.0, Cuenta: 1
Id: 3, Dinero movido: -150.0, Fecha: 2024-03-04 16:45:57.0, Cuenta: 1
Id: 4, Dinero movido: -150.0, Fecha: 2024-03-04 16:46:19.0, Cuenta: 1
Id: 5, Dinero movido: 300.0, Fecha: 2024-03-07 19:26:22.0, Cuenta: 1
Id: 6, Dinero movido: -300.0, Fecha: 2024-03-07 19:26:34.0, Cuenta: 1
Id: 7, Dinero movido: -300.0, Fecha: 2024-03-07 19:27:03.0, Cuenta: 1
Id: 8, Dinero movido: -300.0, Fecha: 2024-03-07 19:27:18.0, Cuenta: 1
Id: 9, Dinero movido: -300.0, Fecha: 2024-03-07 19:27:29.0, Cuenta: 1
Id: 10, Dinero movido: 300.0, Fecha: 2024-03-07 19:27:45.0, Cuenta: 1
Id: 11, Dinero movido: 300.0, Fecha: 2024-03-07 19:32:10.0, Cuenta: 1
Id: 12, Dinero movido: -300.0, Fecha: 2024-03-07 19:32:14.0, Cuenta: 1
Id: 13, Dinero movido: 100.0, Fecha: 2024-03-07 20:36:39.0, Cuenta: 1
Id: 14, Dinero movido: 200.0, Fecha: 2024-03-07 20:36:43.0, Cuenta: 1
Id: 15, Dinero movido: 300.0, Fecha: 2024-03-07 20:36:48.0, Cuenta: 1
Id: 16, Dinero movido: 400.0, Fecha: 2024-03-07 20:36:52.0, Cuenta: 1
Id: 17, Dinero movido: 500.0, Fecha: 2024-03-07 20:36:57.0, Cuenta: 1
Id: 18, Dinero movido: 600.0, Fecha: 2024-03-07 20:37:19.0, Cuenta: 1
Id: 19, Dinero movido: 300.0, Fecha: 2024-03-07 20:39:41.0, Cuenta: 1
Id: 20, Dinero movido: 300.0, Fecha: 2024-03-07 20:59:11.0, Cuenta: 1
Id: 21, Dinero movido: -300.0, Fecha: 2024-03-07 20:59:22.0, Cuenta: 1
Id: 22, Dinero movido: -300.0, Fecha: 2024-03-07 21:01:14.0, Cuenta: 1
Id: 23, Dinero movido: 300.0, Fecha: 2024-03-08 18:29:04.0, Cuenta: 1
Id: 25, Dinero movido: 300.0, Fecha: 2024-03-08 18:30:11.0, Cuenta: 1
Id: 26, Dinero movido: 300.0, Fecha: 2024-03-08 18:58:50.0, Cuenta: 1
Id: 27, Dinero movido: 300.0, Fecha: 2024-03-08 19:03:47.0, Cuenta: 1
Id: 28, Dinero movido: -300.0, Fecha: 2024-03-08 19:04:09.0, Cuenta: 1
Id: 31, Dinero movido: 300.0, Fecha: 2024-03-08 20:53:05.0, Cuenta: 1
